accession_num,artist,title_date,medium,medium category,dimensions,type,exam_date,overall_condition,remarks,priority,overall_analysis,rec_treat,treatment type
32-69/6,James Abbott McNeill Whistler,"The Old Smith's Story, 1896",Lithograph,Ink print,Overall: 7 15/16 x 5 13/16 in. (20.1422 x 14.7828 cm),Examination,11/6/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration; edges darker sl mod matburn, margins mod soiling  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY: na",4-Periodic monitoring needed,,wash,wash
32-69/7,James Abbott McNeill Whistler,"Sunday, Lyme Regis, 1895",Lithograph,Ink print,Overall: 7 3/4 x 4 5/8 in. (19.685 x 11.7602 cm),Examination,11/6/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply acetate  Object: sl gen discoloration, w/darker edges (espec R) sl soiling  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY: na",4-Periodic monitoring needed,,wash,wash
32-69/8,James Abbott McNeill Whistler,"John Grove, 1895",Lithograph,Ink print,"Plate: 8 1/8 x 6 1/8 in. (20.6502 x 15.5702 cm)
Sheet: 11 1/4 x 8 3/4 in. (28.575 x 22.225 cm)",Examination,11/6/1987,(not entered),Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl mod gen discoloration w/ dark edges sl mod gen soiling  mod handling stains corner creases hinges broken  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash,wash
32-69/20,James Abbott McNeill Whistler,"Limehouse, 1878",Lithograph,Ink print,6 3/4 x 10 1/2 inches (17.15 x 26.67 cm),Examination,11/6/1987,(not entered),"Survey Card Frame: na  Mat/Mount: 4 ply reg good glassine  Object: sl discoloration and soiling soft horizontal creases, B mod-severe cockling sm brown stains R edge  Recommended Treatment: flatten  Care and Maintenance: na  CURATORIAL PRIORITY:  na",5-No treatment needed,,flatten,flatten
32-69/21,Barthel Beham,"Emperor Charles V, 1531",Engraving,Ink print,Plate: 8 1/8 x 5 1/16 in. (20.6375 x 12.8588 cm),Examination,10/14/1987,(not entered),Survey Card Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration several sm stains sl soiling edges drawn by adhesive or hinges  Recommended Treatment: clean remove adhesive / hinges wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na,5-No treatment needed,,remove adhesive,attachment removal
32-69/22,Ethel Léontine Gabain,"The White Door, 1912",Lithograph,Ink print,Sheet: 8 1/4 x 5 9/16 in. (20.955 x 14.1224 cm),Examination,10/29/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply acidic glassine  Object: sl-mod gen discoloration sl light burn sl-mod soiling, worse UR numerous creases L & B  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na",5-No treatment needed,,wash,wash
32-69/23,Henri de Toulouse-Lautrec,"At the Opera: Madame Caron in Faust, 1894",Lithograph,Ink print,Image: 14 1/4 x 10 3/8 in. (36.195 x 26.3525 cm),Examination,11/2/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration sl light burn sl soiling, worse at corners num accretions  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,wash,wash
32-69/23,Henri de Toulouse-Lautrec,"At the Opera: Madame Caron in Faust, 1894",Lithograph,Ink print,Image: 14 1/4 x 10 3/8 in. (36.195 x 26.3525 cm),Examination,9/18/2017,Good,"Attached to a 4-ply rag board mat with two Japanese paper hinges at top  Top left corner, top right corner: buckling from hinges Top edge: slight cockling from improper placements of hinges; needs to be flattened Lower right edge: 1 1/2"" area cockling at sheet edge; needs to be flattened Verso lower left edge (recto right edge): 1"" x 1/4"" paper tape attachment; remove when possible",3-Treatment as necessary,,none,none
32-69/24,Claude-Ferdinand Gaillard,"Dom Prosper Guéranger, n.d.",Engraving,Ink print,Image: 7 9/16 x 6 1/8 in. (19.2088 x 15.5575 cm),Examination,10/29/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply acetate  Object: sl gen discoloration sl-mod soiling sl foxing mod handling soil, stain  distortion UR  Recommended Treatment: clean flatten  Care and Maintenance: na  CURATORIAL PRIORITY:  na",5-No treatment needed,,flatten,flatten
32-69/25,Jean-François Millet,"The Carder, 1855-1856",Etching,Ink print,"Image: 10 1/8 x 6 7/8 inches (25.72 x 17.46 cm)
Sheet: 13 1/2 x 9 1/2 inches (34.29 x 24.13 cm)",Examination,11/2/1987,(not entered),Survey Card Frame: na  Mat/Mount: 2 ply rag good glassine  Object: sl-mod discoloration mod light burn heavy soiling some accretions T edge-narrow staining mod plate distortion  Recommended Treatment: clean wasn  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash,wash
32-69/25,Jean-François Millet,"The Carder, 1855-1856",Etching,Ink print,"Image: 10 1/8 x 6 7/8 inches (25.72 x 17.46 cm)
Sheet: 13 1/2 x 9 1/2 inches (34.29 x 24.13 cm)",Examination,4/4/2019,Good condition | Minor repair in-house,,,,none,none
32-69/26,Albrecht Dürer,"The Small Horse, 1505",Engraving,Ink print,Plate: 6 9/16 x 4 1/4 in. (16.6688 x 10.795 cm),Examination,10/15/1987,(not entered),Survey Card Frame: na  Mat/Mount: slick 2 ply acid glassine  Object: sl-mod discoloration mod accretions B platemark damaged  Recommended Treatment: clean  wash re-mend  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash mend/insert,wash & mend/insert
32-69/26,Albrecht Dürer,"The Small Horse, 1505",Engraving,Ink print,Plate: 6 9/16 x 4 1/4 in. (16.6688 x 10.795 cm),Examination,6/18/2019,(not entered),,,,none,none
32-69/27,Albrecht Dürer,"Melancholia I, 1514",Engraving,Ink print,Plate: 9 1/2 x 7 3/8 in. (24.13 x 18.7325 cm),Examination,10/15/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl discoloration w/borad areas of mod sl-mod soiling old hinge, length R  Recommended Treatment: remove hinge clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,remove hinges wash,wash
32-69/27,Albrecht Dürer,"Melancholia I, 1514",Engraving,Ink print,Plate: 9 1/2 x 7 3/8 in. (24.13 x 18.7325 cm),Examination,6/18/2019,Good condition | Minor repair in-house,,,,none,none
32-69/28,"Jean-Auguste-Dominique Ingres, Claude-Ferdinand Gaillard","Oedipus and the Sphinx, n.d.",Engraving,Ink print,Image: 7 7/16 x 5 7/8 in. (18.8913 x 14.9225 cm),Examination,10/28/1987,(not entered),Survey Card Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration mod soil & accretions an glue w/mat remnants interspersed w/ skiinning along T (front)  Recommended Treatment: remove mat / glue clean  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,remove mat / glue clean,attachment removal
32-69/29,Odilon Redon,"Sleep (The Shulamite), 1898",Lithograph,Ink print,"Sheet: 6 x 6 1/2 in. (15.24 x 16.51 cm)
Image: 5 x 5 in. (12.7 x 12.7 cm)",Examination,3/3/1983,(not entered),Survey Card Frame: temporary  Mat/Mount: 4 ply rag  Object: ok reviously treated  Recommended Treatment: na  Care and Maintenance: na  CURATORIAL PRIORITY:  na,5-No treatment needed,,none,none
32-69/29,Odilon Redon,"Sleep (The Shulamite), 1898",Lithograph,Ink print,"Sheet: 6 x 6 1/2 in. (15.24 x 16.51 cm)
Image: 5 x 5 in. (12.7 x 12.7 cm)",Examination,11/2/1987,(not entered),Survey Card Frame: na  Mat/Mount: 4 ply rag good glassine  Object: mod gen discoloration mod-heavy soiling LL creased slightly delaminated  Recommended Treatment: clean wash mend corner  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash mend/insert,wash & mend/insert
32-69/30,Odilon Redon,"Intelligence was Mine, 1896",Lithograph,Ink print,Image: 12 1/4 x 8 1/2 in. (31.115 x 21.59 cm),Examination,11/2/1987,(not entered),"Survey Card Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl discoloration, edges worse adhesive residue UR sm loss UL  Recommended Treatment: clean wash insert UL  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,wash mend/insert,wash & mend/insert
32-69/31,Rembrandt Harmensz. van Rijn,"Rembrandt Drawing at a Window, 1648",Etching and drypoint,Ink print,Overall: 6 1/4 x 5 1/8 in. (15.875 x 13.0302 cm),Examination,9/14/1987,(not entered),Survey Card Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration light foxing sl soiling  Recommended Treatment: clean wash treated June 1992  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,treated,treated
32-69/31,Rembrandt Harmensz. van Rijn,"Rembrandt Drawing at a Window, 1648",Etching and drypoint,Ink print,Overall: 6 1/4 x 5 1/8 in. (15.875 x 13.0302 cm),Examination,4/22/1992,Other Condition,,,,none,none
32-69/31,Rembrandt Harmensz. van Rijn,"Rembrandt Drawing at a Window, 1648",Etching and drypoint,Ink print,Overall: 6 1/4 x 5 1/8 in. (15.875 x 13.0302 cm),Examination,11/16/2017,Excellent,v-hinged at top; replace a window mat to over mat before the next display  Top left quadrant: faint foxing in highlght Overall: slight undulation,5-No treatment needed,,none,none
32-69/32,Rembrandt Harmensz. van Rijn,"Abraham and Isaac, 1645",Etching and drypoint,Ink print,Overall: 6 1/8 x 5 in. (15.5702 x 12.7 cm),Examination,9/14/1987,(not entered),Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl-mod gen discoloration (light?) old creases sl soiled sl-mod cockling  Recommended Treatment: clean wash flatten  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash,wash
32-69/33,Henri Fantin-Latour,"Sleeping Water, 1909",Lithograph,Ink print,Image: 5 7/16 x 8 3/4 in. (13.8113 x 22.225 cm),Examination,10/29/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply brown glassine  Object: sl gen discoloration sl foxing sl soil, num accretions old crease at R mod cockling hinges, P L side image  Recommended Treatment: clean wash flatten  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,wash,wash
32-69/34,Henri de Toulouse-Lautrec,"At the Moulin Rouge: A Ruffian! A True Ruffian!, 1893",Lithograph,Ink print,Image: 14 7/16 x 10 1/4 in. (36.6713 x 26.035 cm),Examination,11/2/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration mod light burn mod soiling, most in margins, worst UR creases UL, LL & LR  Recommended Treatment: clean wash flatten  Care and Maintenance:   CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,wash,wash
32-69/34,Henri de Toulouse-Lautrec,"At the Moulin Rouge: A Ruffian! A True Ruffian!, 1893",Lithograph,Ink print,Image: 14 7/16 x 10 1/4 in. (36.6713 x 26.035 cm),Examination,11/14/2017,Good,"Attached to a 4-ply rag board mat with two Japanese paper hinges at top  Lower right edge: 2"" area cockling",3-Treatment as necessary,,none,none
32-69/35,Henri Fantin-Latour,"Bathers, 1896",Lithograph,Ink print,Image: 9 x 11 1/4 in. (22.86 x 28.575 cm),Examination,10/29/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply acid glassine  Object: sl gen discoloration sl light burn creases from printing, T sl cockling T edge drawn from glassine on back  Recommended Treatment: clean remove glassine, hinges clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,remove patches wash mend/insert,wash & mend/insert
32-69/36,Henri Fantin-Latour,"Apotheosis of Berlioz, 1888",Lithograph,Ink print,Image: 8 15/16 x 6 in. (22.7013 x 15.24 cm),Examination,3/3/1983,(not entered),"Survey Card Frame: temporary  Mat/Mount: 2 ply card, sl adidic  Object: very flat ?  Recommended Treatment: mat in 4 ply examine for overall mount  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,re-mat,enclosure upgrade
32-69/36,Henri Fantin-Latour,"Apotheosis of Berlioz, 1888",Lithograph,Ink print,Image: 8 15/16 x 6 in. (22.7013 x 15.24 cm),Examination,10/29/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply acid glassine  Object: sl gen discoloration sl light burn brown stains L edge sl-mod soil, severe smudge LR  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,wash,wash
32-69/37,"Claude Gellée, called Le Lorrain","Dance under the Trees, ca. 1637",Etching,Ink print,"Image: 5 3/8 x 7 3/4 in. (13.6525 x 19.685 cm)
Mat: 14 x 19 in. (35.56 x 48.26 cm)",Examination,10/27/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration, worse at margins, corners sl-mod soiling, accretions B corners torn, mended old adhesives on reverse mod cockling  Recommended Treatment: clean wash re-mend inpaint  treated July 1992  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,wash mend/insert,wash & mend/insert
32-69/37,"Claude Gellée, called Le Lorrain","Dance under the Trees, ca. 1637",Etching,Ink print,"Image: 5 3/8 x 7 3/4 in. (13.6525 x 19.685 cm)
Mat: 14 x 19 in. (35.56 x 48.26 cm)",Examination,7/8/1992,Current Condition,,,,none,none
32-69/38,Henri de Toulouse-Lautrec,"Coquelin Aîne, 1898",Lithograph,Ink print,Image: 13 3/8 x 10 in. (33.9725 x 25.4 cm),Examination,11/2/1987,(not entered),Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discolor mod light burn mod handling soilsc stains corners cockled  Recommended Treatment: clean wash flatten  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash,wash
32-69/39,Henri de Toulouse-Lautrec,"At the Moulin Rouge: The Franco-Russian Union, 1894",Lithograph,Ink print,Image: 14 1/8 x 10 in. (35.8775 x 25.4 cm),Examination,11/2/1987,(not entered),Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration mod light burn sl mod edge soiling crease LL  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash,wash
32-69/39,Henri de Toulouse-Lautrec,"At the Moulin Rouge: The Franco-Russian Union, 1894",Lithograph,Ink print,Image: 14 1/8 x 10 in. (35.8775 x 25.4 cm),Examination,11/14/2017,Good,Attached to a 4-ply rag board mat with two Japanese paper hinges at top,5-No treatment needed,,none,none
32-69/50,William Rothenstein,"Portrait of Rodin, 1897",Lithograph,Ink print,Image: 8 1/2 x 13 3/4 in. (21.59 x 34.925 cm),Examination,10/26/1987,(not entered),Survey Card Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl-mod discoloration sl-mod light burn mod handling soils & stains T & B edges mod cocklet  Recommended Treatment: clean wash flatten  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash,wash
32-69/51,Odilon Redon,"The Shulamite, 1897",Color lithograph,Ink print,"Image: 9 1/2 x 7 1/2 inches (24.13 x 19.05 cm)
Sheet: 12 9/16 x 8 5/8 inches (31.9 x 21.92 cm)",Examination,11/2/1987,(not entered),"Survey Card Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl-mod gen discoloration sl mod mat burn, margins sl soiling, corners  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY:  na",4-Periodic monitoring needed,,wash,wash
32-69/52,Henri de Toulouse-Lautrec,"À La Gaieté Rochechouart: Nicolle, 1893","Lithograph, ink and chalk",Print with water sensitive media,"Image: 14 1/2 x 10 3/8 inches (36.83 x 26.35 cm)
Sheet: 15 x 11 inches (38.1 x 27.94 cm)",Examination,11/2/1987,(not entered),Survey Card Frame: na  Mat/Mount: slick 2 ply crappy old tissue  Object: sl gen discoloration sl-mod light burn sl soil loss T edge at R  Recommended Treatment: clean wash insert loss  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash mend/insert,wash & mend/insert
32-69/52,Henri de Toulouse-Lautrec,"À La Gaieté Rochechouart: Nicolle, 1893","Lithograph, ink and chalk",Print with water sensitive media,"Image: 14 1/2 x 10 3/8 inches (36.83 x 26.35 cm)
Sheet: 15 x 11 inches (38.1 x 27.94 cm)",Examination,11/28/2017,Good,"Attached to handling mat with two gummed linen tape T-hinges at top  Top right edge: 1/2"" x 1"" sheet loss in the area of linen tape hinge attachment; nees to be filled Top edge: gummed linen tape hinges; causing buckling; needs to be removed and flattened Verso top edge: 1/4"" wide brown paper tape attachment; causing buckling across edge; needs to be removed and flattened  Treatment priority 2 (of 3) for this rotation. Remove hinges; remove brown paper attachment; fill sheet loss (allows larger window mat opening to inclusion of red stamp in bottom left corner); humidify and press",2-Treatment recommended,,none,none
32-69/52,Henri de Toulouse-Lautrec,"À La Gaieté Rochechouart: Nicolle, 1893","Lithograph, ink and chalk",Print with water sensitive media,"Image: 14 1/2 x 10 3/8 inches (36.83 x 26.35 cm)
Sheet: 15 x 11 inches (38.1 x 27.94 cm)",Examination,1/28/2019,Good,"Attached to handling mat with two gummed linen tape T-hinges at top  Top right edge: 1/2"" x 1"" sheet loss in the area of linen tape hinge attachment; nees to be filled Top edge: gummed linen tape hinges; causing buckling; needs to be removed and flattened Verso top edge: 1/4"" wide brown paper tape attachment; causing buckling across edge; needs to be removed and flattened  Treatment priority 2 (of 3) for this rotation. Remove hinges; remove brown paper attachment; fill sheet loss (allows larger window mat opening to inclusion of red stamp in bottom left corner); humidify and press",2-Treatment recommended,,none,none
32-69/53,Giovanni Battista Piranesi,"The Temple of the Sibyl, Tivoli: The Broken Side of the Colonnade, n.d.",Engraving,Ink print,Plate: 17 5/8 x 26 1/8 in. (44.7675 x 66.3575 cm),Examination,10/1/1987,(not entered),Survey Card Frame: na  Mat/Mount: na  Object: sl discoloration mod soiling accretions  Recommended Treatment: clean mat  Care and Maintenance: na  CURATORIAL PRIORITY:  na,5-No treatment needed,,clean mat,surface clean
32-69/54,Giovanni Battista Piranesi,"The So-Called Temple of Minerva Medica, Mid-18th century",Engraving,Ink print,Plate: 18 3/8 x 27 5/8 in. (46.6725 x 70.1675 cm),Examination,10/1/1987,(not entered),"Survey Card Frame: na  Mat/Mount: na  Object: L & R inlain sl gen discoloration sl foxing mod-heavy soiling, accretions  Recommended Treatment: clean mat  Care and Maintenance: na  CURATORIAL PRIORITY:  na",5-No treatment needed,,clean mat,surface clean
32-72/1,Okumura Masanobu,"Young Man Offering a Plum Branch to an Oiran, 1710-1720",Ink drawing,Ink drawing,Overall: 10 x 13 3/4 in. (25.4 x 34.925 cm),Examination,2/1/1990,(not entered),Condition:  Frame:   Mat/Mount:   Object: gen discolor and soil sl numberous old worm holes - poorly patched and grey  Recommended Treatment: clean remove patches insert  Care and Maintenance:   Curatorial Priority,4-Periodic monitoring needed,,remove patches wash mend/insert,wash & mend/insert
32-72/2,Okumura Toshinobu,"Portrait of the Actor Sanogawa Ichimatsu, ca. 1728",Etching with hand coloring,Ink print,Overall: 12 1/2 x 5 7/8 in. (31.75 x 14.9225 cm),Examination,2/1/1990,(not entered),"Condition:  Frame:   Mat/Mount:   Object: colors good discolor and soil sl three worm holes - largest badly patched large old hinges , delam and distortion  Recommended Treatment: remove hinges, repair underlying paper remove old patch insert losses  Care and Maintenance:   Curatorial Priority",3-Treatment as necessary,,remove hinges remove patches mend/insert,attachment removal
32-72/3,Torii Kiyonobu II,"Onna Danshichi Defends Herself from Chobei, 18th century",Woodcut,Ink print,Overall: 11 5/8 x 5 5/8 in. (29.5275 x 14.2875 cm),Examination,2/1/1990,(not entered),Condition:  Frame:   Mat/Mount:   Object: colors good gen discolor and soil sl-mod  severally abraded on B; edge losses R and B overall backed on thick western paper  Recommended Treatment: clean remove backing consolidate abrasion  Care and Maintenance:   Curatorial Priority,3-Treatment as necessary,,remove backing,backing removal
32-72/5,Torii Kiyomasu II,"Actor Bandō Hikosaburō as Hachimantarō Yoshiie, 1750-1760s",Color woodblock,Ink print,Overall: 12 x 5 1/8 in. (30.48 x 13.0175 cm),Examination,2/1/1990,(not entered),"Condition:  Frame:   Mat/Mount:   Object: colors, includ beni, excellent discolor sl; soil mod edges abraded with shallow losses non-original writing on reverse visible thru paper  Recommended Treatment: clean  Care and Maintenance:   Curatorial Priority",5-No treatment needed,,clean,surface clean
32-72/6,Suzuki Harunobu,"Righteousness (Gi) from the series Five Cardinal Virtues (Gojō no uchi), 1767",Color woodblock,Ink print,Overall: 10 3/4 x 7 7/8 in. (27.305 x 20.0025 cm),Examination,2/1/1990,(not entered),"Condition:  Frame:   Mat/Mount:   Object: red lead oxidized blu/purple toatlly faded discolor and soil sl milky looking haze over portions of image overall backed, with no evident damages adhes and mica on reverse  Recommended Treatment: remove backing wash  Care and Maintenance:   Curatorial Priority",4-Periodic monitoring needed,,remove backing wash,backing removal & wash
